state,day_of_week,crime_type,avg_daily_count,avg_daily_rate_per_100k
AZ,0,burglary,4.0523690643366095,0.05659489585418926
AZ,0,motor_vehicle_theft,4.3553880346692,0.06077379928549734
AZ,1,burglary,3.90565008372495,0.054530954811371345
AZ,1,motor_vehicle_theft,4.417684218117923,0.06162384232021285
AZ,2,burglary,4.008936836523043,0.055981065048123245
AZ,2,motor_vehicle_theft,4.476193186904072,0.06242665765106717
AZ,3,burglary,4.059810544498223,0.05670054374307354
AZ,3,motor_vehicle_theft,4.125109806492848,0.057548535007533895
AZ,4,burglary,4.496248260783145,0.06278718442300889
AZ,4,motor_vehicle_theft,4.719122377297526,0.06581335508923425
AZ,5,burglary,4.041268889374973,0.056424598816932105
AZ,5,motor_vehicle_theft,4.644126032913326,0.0647556404214007
AZ,6,burglary,3.8314090224463206,0.05351169404752092
AZ,6,motor_vehicle_theft,4.59440511267699,0.06406447850527373
CA,0,burglary,5.921680248060422,0.015079353588874472
CA,0,motor_vehicle_theft,7.344443721347275,0.01870342963897488
CA,1,burglary,5.855438701282268,0.01491032609167002
CA,1,motor_vehicle_theft,7.126887573517174,0.01814994049661726
CA,2,burglary,5.783080511418849,0.014725398384143072
CA,2,motor_vehicle_theft,7.154442296622835,0.018220211260190605
CA,3,burglary,5.75764973582472,0.014661351043933594
CA,3,motor_vehicle_theft,7.154128832536884,0.0182183950312158
CA,4,burglary,6.371964394359845,0.016224838726505895
CA,4,motor_vehicle_theft,7.666657961621418,0.019524392790137735
CA,5,burglary,5.962491930510931,0.01518266015108185
CA,5,motor_vehicle_theft,7.535333171530308,0.019188845817842647
CA,6,burglary,5.67465251540654,0.014450625133646137
CA,6,motor_vehicle_theft,7.179670533328906,0.018284292206837267
NV,0,burglary,10.188152884258933,0.3164620688094649
NV,0,motor_vehicle_theft,15.5675193310352,0.4833609921408137
NV,1,burglary,9.91717125382263,0.30810940884023635
NV,1,motor_vehicle_theft,15.334469981562004,0.47603514674120956
NV,2,burglary,9.2875848319802,0.28857765842372946
NV,2,motor_vehicle_theft,14.477877062891915,0.4495802775860129
NV,3,burglary,9.476868425184486,0.2943550860303401
NV,3,motor_vehicle_theft,14.36558986593517,0.44610238929699647
NV,4,burglary,9.598180557195136,0.29811478167873945
NV,4,motor_vehicle_theft,14.718157120934217,0.4573423568678707
NV,5,burglary,8.185324211418537,0.25430977824005624
NV,5,motor_vehicle_theft,14.820401851946107,0.4599419498957625
NV,6,burglary,8.173829944002359,0.25395002142350886
NV,6,motor_vehicle_theft,15.041735349686197,0.46707602880100835
