state,offense_type,period,evening_share,morning_share
AZ,burglary,DST,0.228998096144693,0.21787244169443123
AZ,burglary,standard,0.2390798972225621,0.19907010889514254
AZ,motor_vehicle_theft,DST,0.29254761757997905,0.17980644763607223
AZ,motor_vehicle_theft,standard,0.29212637913741224,0.19445837512537612
CA,burglary,DST,0.2353666713574994,0.1911293593702143
CA,burglary,standard,0.24279380931803268,0.19165826411229014
CA,motor_vehicle_theft,DST,0.306058275129996,0.17853604504476786
CA,motor_vehicle_theft,standard,0.3129367628668808,0.17878773018169336
NV,burglary,DST,0.1836341859868252,0.20562066900504747
NV,burglary,standard,0.21182865487587213,0.19454810968684083
NV,motor_vehicle_theft,DST,0.18884775838768436,0.25982725189494094
NV,motor_vehicle_theft,standard,0.1986706056129985,0.25350812407680945
