state,month,crime_type,avg_daily_count,avg_daily_rate_per_100k
AZ,1,burglary,4.16087098898051,0.05809318208340916
AZ,1,motor_vehicle_theft,4.412470463473286,0.06149631117184821
AZ,2,burglary,4.115931804820694,0.057428716766281286
AZ,2,motor_vehicle_theft,4.4251691155681945,0.06170640255835858
AZ,3,burglary,4.170126907445748,0.05822219049880598
AZ,3,motor_vehicle_theft,4.12057121423213,0.057475559151335766
AZ,4,burglary,4.097038362154641,0.05720909496686752
AZ,4,motor_vehicle_theft,4.281465975451561,0.05967097465825247
AZ,5,burglary,4.197576540457646,0.058622490500268055
AZ,5,motor_vehicle_theft,4.243633485496491,0.05918612872254183
AZ,6,burglary,4.204573242601876,0.05866792535783926
AZ,6,motor_vehicle_theft,4.41659318048207,0.06159961266869891
AZ,7,burglary,4.2469853082362965,0.05931208252750172
AZ,7,motor_vehicle_theft,4.600209179278946,0.06417668032214972
AZ,8,burglary,3.9953380745114155,0.055787587279067595
AZ,8,motor_vehicle_theft,4.970359699167646,0.06927750830352863
AZ,9,burglary,4.116688177156946,0.05750411828315146
AZ,9,motor_vehicle_theft,4.49336919045508,0.06265305601332269
AZ,10,burglary,3.9687757556590575,0.05548324672211621
AZ,10,motor_vehicle_theft,4.786621912761692,0.0668009820673632
AZ,11,burglary,3.6754044360185567,0.0513208706739429
AZ,11,motor_vehicle_theft,4.733432607644744,0.06603697214811892
AZ,12,burglary,3.748497882974453,0.05238417738034679
AZ,12,motor_vehicle_theft,4.321026718952772,0.06036143746084293
CA,1,burglary,5.6846233756810784,0.01447555177024303
CA,1,motor_vehicle_theft,7.025806265772096,0.01788753098317326
CA,2,burglary,5.498489831781325,0.014002067953672162
CA,2,motor_vehicle_theft,6.87000155605386,0.01749023825402191
CA,3,burglary,5.57613428076944,0.014201406212274947
CA,3,motor_vehicle_theft,6.7302518902642765,0.017135603639449225
CA,4,burglary,5.655306084585362,0.01440163658013069
CA,4,motor_vehicle_theft,6.990729384565294,0.017799705418350974
CA,5,burglary,5.751031471217921,0.014644592711211516
CA,5,motor_vehicle_theft,7.240359384234452,0.018435307559938757
CA,6,burglary,5.902043403971505,0.015027459443025354
CA,6,motor_vehicle_theft,7.322447258029364,0.018645879756906545
CA,7,burglary,5.957629977332356,0.015168086399406021
CA,7,motor_vehicle_theft,7.3683041014402155,0.018764002105505672
CA,8,burglary,6.0856438535436626,0.015494945402151622
CA,8,motor_vehicle_theft,7.668759651855076,0.01953154737992774
CA,9,burglary,6.160473756043923,0.015687273426705336
CA,9,motor_vehicle_theft,7.6423955596388105,0.01946754720302595
CA,10,burglary,6.205301410021275,0.015801253424636185
CA,10,motor_vehicle_theft,7.705976618861681,0.01963080468798011
CA,11,burglary,6.06504996822159,0.015444289388536559
CA,11,motor_vehicle_theft,7.407862859872566,0.018870514399926964
CA,12,burglary,6.24784311030282,0.01590832400263705
CA,12,motor_vehicle_theft,7.563716223885969,0.019263653337386097
NV,1,burglary,9.630400628436762,0.2992662242895759
NV,1,motor_vehicle_theft,13.908583700250368,0.431665814261045
NV,2,burglary,9.511368878035546,0.2955561084918091
NV,2,motor_vehicle_theft,14.404670228927657,0.44695058714627106
NV,3,burglary,9.110496816290722,0.28297555108770595
NV,3,motor_vehicle_theft,14.106109640090223,0.4382313145284183
NV,4,burglary,9.508422692975403,0.2953664898137882
NV,4,motor_vehicle_theft,14.839795075644133,0.4604052528379137
NV,5,burglary,9.773378141437755,0.3037603601418979
NV,5,motor_vehicle_theft,15.909064569282883,0.49387372787603767
NV,6,burglary,9.736931818181818,0.30247094630502325
NV,6,motor_vehicle_theft,16.392135035832514,0.5086469015303958
NV,7,burglary,9.465507599538318,0.2939431619561041
NV,7,motor_vehicle_theft,15.692309891366493,0.48755305985916014
NV,8,burglary,9.345137869776783,0.29037931785889987
NV,8,motor_vehicle_theft,14.814245109413369,0.4604313541378621
NV,9,burglary,8.910021265284422,0.2766005598154971
NV,9,motor_vehicle_theft,14.008035996522837,0.4351054944268618
NV,10,burglary,8.44672131147541,0.262514021065897
NV,10,motor_vehicle_theft,14.63378680638539,0.45446280471841843
NV,11,burglary,9.033055146457208,0.2806259344623771
NV,11,motor_vehicle_theft,15.082417582417582,0.4682978061044438
NV,12,burglary,9.049134790528234,0.28097982841992813
NV,12,motor_vehicle_theft,15.077930300152522,0.46846849175718347
